latitude,longitude,elevation
35.677049200,139.524906300,44.7
35.677454400,139.526537100,42.9
35.677116600,139.527610000,44.2
35.679044800,139.526408400,47.4
35.679733000,139.530978900,49.2
35.681598000,139.533917900,62.4
35.681842000,139.530227900,58.5
35.687507000,139.519434900,52.0
35.689406000,139.508083900,51.4
35.689494000,139.500680900,54.6
35.688030000,139.498384900,57.8
35.678479000,139.490573800,58.6
35.675306000,139.486775800,59.8
35.675742000,139.479265800,64.3
35.670164000,139.479072800,66.5
35.670077000,139.476690800,61.4
35.668124000,139.477012800,53.5
35.665997000,139.478750800,53.6
35.662284000,139.479372800,46.1
35.658658000,139.483127800,41.6
35.657515700,139.487505800,42.0
35.648092000,139.488492800,45.2
35.645564000,139.489092800,61.9
35.643489000,139.488406800,96.2
35.641919000,139.489865800,85.2
35.641012000,139.489908800,81.2
35.640821000,139.487440800,87.6
35.637507000,139.486260800,94.3
35.635973000,139.487505800,86.0
35.638309000,139.491624800,70.7
35.637368000,139.492290800,70.7
35.633426000,139.490101800,89.6
35.634368000,139.486303800,98.2
35.634821000,139.486024800,97.0
35.634019000,139.484629800,94.8
35.633025000,139.485359800,99.1
35.630304000,139.484973800,89.3
35.628089000,139.481840800,81.8
35.627645000,139.481464800,77.6
35.628299000,139.480220800,88.5
35.628665000,139.478417800,95.4
35.629485000,139.477259800,105.7
35.628905100,139.476476300,98.8
35.628552000,139.475177800,97.3
35.627095000,139.473031800,102.7
35.627427000,139.471841800,106.5
35.627967000,139.471315800,109.1
35.626886000,139.469759800,114.8
35.627505000,139.469223800,119.2
35.628787000,139.469233800,125.5
35.629572000,139.468332800,136.1
35.629354000,139.467023800,132.4
35.628177000,139.467109800,125.8
35.627209000,139.466519800,121.9
35.625857000,139.466637800,120.0
35.626180000,139.462152800,128.4
35.628709000,139.463933900,132.6
35.629528000,139.462324800,132.2
35.628648000,139.461723800,125.6
35.627715000,139.460479800,124.1
35.627775000,139.458075800,118.3
35.630374000,139.456863800,115.0
35.631089000,139.458698800,113.8
35.634839000,139.459084800,102.0
35.636365000,139.458215800,100.0
35.637158000,139.455522800,90.9
35.635885000,139.454707800,97.9
35.634970000,139.452475800,84.8
35.633688000,139.451649800,79.7
35.631421000,139.454170800,93.0
35.628063000,139.455575800,95.2
35.626790000,139.456530800,98.1
35.626302000,139.457893800,109.8
35.626040000,139.462206800,127.7
35.621959000,139.459931800,126.3
35.620027100,139.456514700,123.4
35.618444000,139.452818800,129.2
35.613577000,139.449407800,124.2
35.611327000,139.445823800,119.0
35.610760000,139.437916800,117.3
35.609992000,139.432659800,120.9
35.614493000,139.432026800,119.8
35.619787000,139.433066800,111.3
35.622848000,139.431951800,90.8
35.622151000,139.429998800,94.5
35.623040000,139.428249800,118.2
35.621549000,139.423711800,109.0
35.621401000,139.420653700,118.5
35.622473000,139.416490700,101.4
35.624959000,139.417907700,97.1
35.624985000,139.413411700,126.0
35.627383000,139.408573700,104.9
35.627924000,139.404496700,87.7
35.624715000,139.392351700,88.0
35.619691000,139.389733700,97.2
35.612504000,139.374991700,129.1
35.605892000,139.368854700,185.9
35.599629000,139.362417700,123.2
35.600432000,139.360078700,125.1
35.600920000,139.354564700,126.2
35.602491000,139.350615700,132.5
35.605945000,139.339586600,141.5
35.605927000,139.338277600,138.0
35.601653000,139.338942600,144.9
35.602491000,139.336561600,142.0
35.601513000,139.328922600,150.1
35.598495000,139.328707600,149.7
35.598687000,139.323343600,151.3
35.598495000,139.316648600,156.1
35.596262000,139.305018600,160.5
35.594176300,139.302604900,155.4
35.594277500,139.300920200,147.3
35.592929000,139.300254600,144.5
35.592022000,139.301145600,143.5
35.591079000,139.300265600,136.3
35.590477100,139.300077900,140.2
35.589884000,139.299600600,137.4
35.589300000,139.299857600,128.1
35.588698000,139.299621600,116.9
35.587555000,139.299943600,109.4
35.586987800,139.300557900,104.2
35.586316000,139.300898600,97.8
35.587092000,139.299911600,97.0
35.586098000,139.297551600,96.2
35.585417000,139.297937600,90.8
35.584579000,139.297872600,97.9
35.584283000,139.297261600,100.9
35.584771000,139.293484600,118.6
35.584571000,139.291853600,121.4
35.583829000,139.290888600,132.9
35.581709000,139.290437600,144.9
35.579841000,139.289300600,148.5
35.577512000,139.285877600,158.1
35.576717000,139.285438600,141.2
35.575566000,139.282541600,139.6
35.574492000,139.281189600,127.5
35.574204000,139.278421600,148.8
35.572359000,139.276967600,147.3
35.570827000,139.274956600,166.7
35.569143000,139.273915600,195.2
35.568515000,139.274601600,176.3
35.567205000,139.273507600,164.0
35.567616000,139.271007600,170.7
35.566612000,139.269173500,169.6
35.566944000,139.267285500,171.2
35.566525000,139.266287500,163.2
35.566464000,139.264602500,168.5
35.565678000,139.263658500,178.9
35.565364000,139.262596500,180.7
35.565643000,139.261201500,183.8
35.565416000,139.259656500,186.2
35.566132000,139.257113500,205.0
35.566420000,139.252811500,208.3
35.566289000,139.245569500,230.5
35.566586000,139.244593500,233.7
35.570958000,139.238692500,274.5
35.571613000,139.236085500,263.6
35.577005000,139.234293500,240.3
35.579370000,139.232427500,222.9
35.581272000,139.231472500,216.4
35.580862000,139.229733500,216.7
35.577555000,139.227159500,207.1
35.577808000,139.225893500,209.1
35.576997000,139.224358500,211.4
35.576229000,139.224487500,231.8
35.575618000,139.223565500,224.5
35.571674000,139.221762500,236.6
35.566952000,139.219273500,247.0
35.564282000,139.208887500,253.5
35.562728000,139.207514500,247.5
35.563741000,139.206441500,253.8
35.564893000,139.198995500,256.4
35.564334000,139.190584400,277.2
35.560930000,139.182859400,281.4
35.560424000,139.176894400,297.4
35.557073000,139.171251400,323.8
35.556758000,139.167903400,326.7
35.553337000,139.162539400,384.0
35.553546000,139.158204400,364.1
35.549269000,139.152239400,378.5
35.549409000,139.150051400,375.7
35.548344000,139.148870400,396.5
35.549321000,139.146059400,388.7
35.547593000,139.142605400,406.3
35.544730000,139.140330400,450.3
35.544922000,139.138935400,417.9
35.542827000,139.137412400,444.8
35.541954000,139.137627400,483.8
35.543281000,139.135180400,453.9
35.544311000,139.131854400,442.0
35.545341000,139.131297400,427.3
35.545027000,139.130224400,436.4
35.545707000,139.130438400,413.2
35.544642000,139.128335400,396.6
35.545061000,139.125439400,376.5
35.542949000,139.122885400,358.4
35.541395000,139.123808400,370.5
35.540731000,139.122134400,373.2
35.540871000,139.120224400,371.1
35.542093000,139.118357400,376.9
35.541709000,139.115289300,381.1
35.539195000,139.113036300,355.4
35.539212000,139.110547300,391.6
35.538479000,139.112800300,390.8
35.536611000,139.111040300,418.0
35.536663000,139.107607300,416.7
35.535598000,139.107715300,427.3
35.535353000,139.109474300,429.1
35.533869000,139.108423300,452.5
35.533450000,139.104710300,510.4
35.531617000,139.104732300,460.1
35.531145000,139.103187300,502.9
35.529835000,139.101535300,483.3
35.528980000,139.096964300,494.3
35.531180000,139.095977300,490.8
35.531547000,139.097436300,502.9
35.531913000,139.094132300,454.4
35.533031000,139.094733300,494.6
35.534655000,139.092587300,465.7
35.535790000,139.088145300,470.2
35.537152000,139.086364300,493.8
35.535493000,139.084111300,468.2
35.537117000,139.079541300,519.6
35.534830000,139.078253300,493.0
35.534079000,139.076021300,490.0
35.535092000,139.074477300,495.6
35.533904000,139.072567300,503.7
35.533765000,139.069155300,500.2
35.534585000,139.068447300,544.4
35.534271000,139.064284300,528.1
35.535982200,139.061988600,554.7
35.536995000,139.059435300,586.9
35.534742000,139.053512300,589.8
35.533031000,139.052740300,560.9
35.532446000,139.050423300,563.0
35.532455000,139.047848300,581.1
35.531468100,139.047172200,571.7
35.530830400,139.045401800,573.4
35.531040400,139.044404100,583.2
35.530936000,139.043256300,583.8
35.528945000,139.039200200,581.9
35.529006300,139.037419400,590.0
35.528439000,139.035531200,603.1
35.527373000,139.031690200,598.3
35.527722100,139.030821000,609.3
35.527495000,139.028664200,623.9
35.524335000,139.024309200,620.7
35.518606000,139.019523200,632.7
35.517593000,139.015296200,641.9
35.514711000,139.013129200,646.4
35.513559000,139.006370200,671.0
35.511061000,139.001005200,689.4
35.511026000,138.999096200,698.8
35.508197000,138.997508200,684.5
35.507166000,138.994740200,695.4
35.504389000,138.991950200,697.6
35.504301000,138.989719200,712.3
35.501611000,138.987187200,730.0
35.499689000,138.987037200,720.7
35.496615000,138.981629200,746.6
35.495182000,138.981200200,742.7
35.491513000,138.973969200,757.2
35.488805000,138.969613200,770.3
35.487705000,138.966180200,807.2
35.486342000,138.965751200,788.0
35.485503000,138.962575100,816.4
35.482830000,138.960386100,803.8
35.479964000,138.957790100,819.9
35.477850000,138.951503100,863.6
35.476068000,138.951374100,862.9
35.475369000,138.950601100,864.4
35.474093000,138.950258100,877.9
35.472870000,138.947791100,893.4
35.471157000,138.945688100,904.4
35.470109000,138.943027100,935.9
35.468781000,138.944014100,924.9
35.467645000,138.942662100,946.2
35.466771000,138.942877100,939.7
35.465967000,138.942126100,952.5
35.465076000,138.942340100,956.3
35.463730000,138.941933100,960.1
35.460741000,138.939036100,1003.4
35.459501000,138.939873100,999.3
35.456844000,138.936954100,1043.0
35.455061000,138.936504100,1046.1
35.454834000,138.934658100,1076.4
35.454222000,138.934315100,1072.1
35.454502000,138.932277100,1102.0
35.453365000,138.933156100,1098.0
35.451723000,138.930109100,1111.9
35.450831000,138.930496100,1095.7
35.449293000,138.928693100,1081.0
35.448646000,138.929530100,1067.5
35.443244000,138.924917100,1031.1
35.437196000,138.916183100,1025.4
35.434591000,138.912771100,1017.5
35.433297000,138.908480100,1011.9
35.430377000,138.904467100,1005.7
35.429083000,138.903695100,1001.3
35.426461000,138.903545100,993.3
35.429136000,138.897773100,986.0
35.428856000,138.895563100,1007.1
35.427230000,138.894533100,999.1
35.426093000,138.893309100,992.0
35.424432000,138.892666100,990.3
35.422421000,138.892430100,1003.9
35.421914000,138.884233000,1023.1
35.422614000,138.883417000,1021.5
35.423733000,138.884447000,1024.8
35.424677000,138.879619000,999.5
35.426670000,138.873997000,989.8
35.429555000,138.855565000,995.3
